SNO,NAME OF COMPANY,SYMBOL
1383,Sterling Tools Limited,STERTOOLS
1384,STI India Limited,STINDIA
1385,Sterlite Technologies Limited,STRTECH
1386,International Constructions Limited,SUBCAPCITY
1387,Subex Limited,SUBEX
1388,Subros Limited,SUBROS
1389,Sudarshan Chemical Industries Limited,SUDARSCHEM
1390,Sujana Universal Industries Limited,SUJANAUNI
1391,Sumeet Industries Limited,SUMEETINDS
1392,Sumit Woods Limited,SUMIT
1393,Summit Securities Limited,SUMMITSEC
1394,Sundaram Clayton Limited,SUNCLAYLTD
1395,Sundaram Multi Pap Limited,SUNDARAM
1396,Sundaram Finance Limited,SUNDARMFIN
1397,Sundaram Finance Holdings Limited,SUNDARMHLD
1398,Sundaram Brake Linings Limited,SUNDRMBRAK
1399,Sundram Fasteners Limited,SUNDRMFAST
1400,Sunflag Iron And Steel Company Limited,SUNFLAG
1401,Sun Pharmaceutical Industries Limited,SUNPHARMA
1402,Sunteck Realty Limited,SUNTECK
1403,Sun TV Network Limited,SUNTV
1404,Superhouse Limited,SUPERHOUSE
1405,Super Spinning Mills Limited,SUPERSPIN
1406,Supreme Petrochem Limited,SUPPETRO
1407,Suprajit Engineering Limited,SUPRAJIT
1408,Supreme Industries Limited,SUPREMEIND
1409,Supreme Infrastructure India Limited,SUPREMEINF
1410,Surana Solar Limited,SURANASOL
1411,Surana Telecom and Power Limited,SURANAT&P
1412,Suryalakshmi Cotton Mills Limited,SURYALAXMI
1413,Surya Roshni Limited,SURYAROSNI
1414,Sutlej Textiles and Industries Limited,SUTLEJTEX
1415,Suven Life Sciences Limited,SUVEN
1416,Suzlon Energy Limited,SUZLON
1417,Swan Energy Limited,SWANENERGY
1418,Swaraj Engines Limited,SWARAJENG
1419,Swelect Energy Systems Limited,SWELECTES
1420,Sterling And Wilson Solar Limited,SWSOLAR
1421,Symphony Limited,SYMPHONY
1422,Syncom Healthcare Limited,SYNCOM
1423,Syndicate Bank,SYNDIBANK
1424,Syngene International Limited,SYNGENE
1425,Tainwala Chemical and Plastic (I) Limited,TAINWALCHM
1426,Taj GVK Hotels & Resorts Limited,TAJGVK
1427,Take Solutions Limited,TAKE
1428,Talbros Automotive Components Limited,TALBROAUTO
1429,Talwalkars Better Value Fitness Limited,TALWALKARS
1430,Talwalkars Healthclubs Limited,TALWGYM
1431,Tanla Solutions Limited,TANLA
1432,Tantia Constructions Limited,TANTIACONS
1433,Tarapur Transformers Limited,TARAPUR
1434,Tarmat Limited,TARMAT
1435,Tasty Bite Eatables Limited,TASTYBITE
1436,Tata Chemicals Limited,TATACHEM
1437,Tata Coffee Limited,TATACOFFEE
1438,Tata Communications Limited,TATACOMM
1439,Tata Elxsi Limited,TATAELXSI
1440,Tata Global Beverages Limited,TATAGLOBAL
1441,Tata Investment Corporation Limited,TATAINVEST
1442,Tata Metaliks Limited,TATAMETALI
1443,Tata Motors Limited,TATAMOTORS
1444,Tata Motors Limited,TATAMTRDVR
1445,Tata Power Company Limited,TATAPOWER
1446,Tata Steel Limited,TATASTEEL
1447,Tata Steel Bsl Limited,TATASTLBSL
1448,Tata Steel Long Products Limited,TATASTLLP
1449,Tribhovandas Bhimji Zaveri Limited,TBZ
1450,Transport Corporation of India Limited,TCI
1451,TCI Developers Limited,TCIDEVELOP
1452,TCI Express Limited,TCIEXP
1453,TCI Finance Limited,TCIFINANCE
1454,TCNS Clothing Co. Limited,TCNSBRANDS
1455,TCPL Packaging Limited,TCPLPACK
1456,Tata Consultancy Services Limited,TCS
1457,TD Power Systems Limited,TDPOWERSYS
1458,Teamlease Services Limited,TEAMLEASE
1459,Techindia Nirman Limited,TECHIN
1460,Tech Mahindra Limited,TECHM
1461,Techno Electric & Engineering Company Limited,TECHNOE
1462,Technofab Engineering Limited,TECHNOFAB
1463,Tejas Networks Limited,TEJASNET
1464,Tera Software Limited,TERASOFT
1465,Texmaco Infrastructure & Holdings Limited,TEXINFRA
1466,Texmo Pipes and Products Limited,TEXMOPIPES
1467,Texmaco Rail & Engineering Limited,TEXRAIL
1468,Texmaco Rail & Engineering Limited,TEXRAIL
1469,Tourism Finance Corporation of India Limited,TFCILTD
1470,Transwarranty Finance Limited,TFL
1471,TGB Banquets And Hotels Limited,TGBHOTELS
1472,TGB Banquets And Hotels Limited,TGBHOTELS
1473,Thangamayil Jewellery Limited,THANGAMAYL
1474,The Investment Trust Of India Limited,THEINVEST
1475,Themis Medicare Limited,THEMISMED
1476,Thermax Limited,THERMAX
1477,Thiru Arooran Sugars Limited,THIRUSUGAR
1478,Thomas Cook (India) Limited,THOMASCOOK
1479,Thomas Scott (India) Limited,THOMASCOTT
1480,Thyrocare Technologies Limited,THYROCARE
1481,Tilaknagar Industries Limited,TI
1482,Tide Water Oil Company (India) Limited,TIDEWATER
1483,Technocraft Industries (India) Limited,TIIL
1484,Tube Investments of India Limited,TIINDIA
1485,Tijaria Polypipes Limited,TIJARIA
1486,TIL Limited,TIL
1487,Times Guaranty Limited,TIMESGTY
1488,Time Technoplast Limited,TIMETECHNO
1489,Timken India Limited,TIMKEN
1490,The Tinplate Company of India Limited,TINPLATE
1491,TIPS Industries Limited,TIPSINDLTD
1492,Thirumalai Chemicals Limited,TIRUMALCHM
1493,Titan Company Limited,TITAN
1494,The Mandhana Retail Ventures Limited,TMRVL
1495,Tamilnadu PetroProducts Limited,TNPETRO
1496,Tamil Nadu Newsprint & Papers Limited,TNPL
1497,Tamilnadu Telecommunication Limited,TNTELE
1498,Tokyo Plast International Limited,TOKYOPLAST
1499,Torrent Pharmaceuticals Limited,TORNTPHARM
1500,Torrent Power Limited,TORNTPOWER
1501,TPL Plastech Limited,TPLPLASTEH
1502,Tree House Education & Accessories Limited,TREEHOUSE
1503,TREJHARA SOLUTIONS LIMITED,TREJHARA
1504,Trent Limited,TRENT
1505,TRF Limited,TRF
1506,Trident Limited,TRIDENT
1507,Trigyn Technologies Limited,TRIGYN
1508,Transformers And Rectifiers (India) Limited,TRIL
1509,Triveni Turbine Limited,TRITURBINE
1510,Triveni Engineering & Industries Limited,TRIVENI
1511,TTK Healthcare Limited,TTKHLTCARE
1512,TTK Prestige Limited,TTKPRESTIG
1513,T T Limited,TTL
1514,Tata Teleservices (Maharashtra) Limited,TTML
1515,TV18 Broadcast Limited,TV18BRDCST
1516,TVS Electronics Limited,TVSELECT
1517,TVS Motor Company Limited,TVSMOTOR
1518,TVS Srichakra Limited,TVSSRICHAK
1519,TV Today Network Limited,TVTODAY
1520,TV Vision Limited,TVVISION
1521,Titagarh Wagons Limited,TWL
1522,United Breweries Limited,UBL
1523,Ucal Fuel Systems Limited,UCALFUEL
1524,UCO Bank,UCOBANK
1525,UFLEX Limited,UFLEX
1526,UFO Moviez India Limited,UFO
1527,The Ugar Sugar Works Limited,UGARSUGAR
1528,Ujaas Energy Limited,UJAAS
1529,Ujjivan Financial Services Limited,UJJIVAN
1530,UltraTech Cement Limited,ULTRACEMCO
1531,Umang Dairies Limited,UMANGDAIRY
1532,Usha Martin Education & Solutions Limited,UMESLTD
1533,Unichem Laboratories Limited,UNICHEMLAB
1534,Uniphos Enterprises Limited,UNIENTER
1535,Union Bank of India,UNIONBANK
1536,Uniply Industries Limited,UNIPLY
1537,Unitech Limited,UNITECH
1538,United Bank of India,UNITEDBNK
1539,The United Nilgiri Tea Estates Company Limited,UNITEDTEA
1540,Unity Infraprojects Limited,UNITY
1541,Universal Cables Limited,UNIVCABLES
1542,UPL Limited,UPL
1543,Urja Global Limited,URJA
1544,Usha Martin Limited,USHAMART
1545,Uttam Galva Steels Limited,UTTAMSTL
1546,Uttam Sugar Mills Limited,UTTAMSUGAR
1547,Uttam Value Steels Limited,UVSL
1548,V2 Retail Limited,V2RETAIL
1549,Vadilal Industries Limited,VADILALIND
1550,Vaibhav Global Limited,VAIBHAVGBL
1551,Vakrangee Limited,VAKRANGEE
1552,Vardhman Acrylics Limited,VARDHACRLC
1553,Vardhman Polytex Limited,VARDMNPOLY
1554,Varroc Engineering Limited,VARROC
1555,Vascon Engineers Limited,VASCONEQ
1556,Vaswani Industries Limited,VASWANI
1557,Varun Beverages Limited,VBL
1558,Vedanta Limited,VEDL
1559,Venky’s (India) Limited,VENKEYS
1560,Venus Remedies Limited,VENUSREM
1561,Vesuvius India Limited,VESUVIUS
1562,Veto Switchgears And Cables Limited,VETO
1563,V-Guard Industries Limited,VGUARD
1564,Vardhman Holdings Limited,VHL
1565,Viceroy Hotels Limited,VICEROY
1566,Videocon Industries Limited,VIDEOIND
1567,Vidhi Specialty Food Ingredients Limited,VIDHIING
1568,Viji Finance Limited,VIJIFIN
1569,Vikas EcoTech Limited,VIKASECO
1570,Vikas Multicorp Limited,VIKASMCORP
1571,Vikas Proppant & Granite Limited,VIKASPROP
1572,Vikas WSP Limited,VIKASWSP
1573,Vimal Oil & Foods Limited,VIMALOIL
1574,Vimta Labs Limited,VIMTALABS
1575,Vinati Organics Limited,VINATIORGA
1576,Vindhya Telelinks Limited,VINDHYATEL
1577,Vinyl Chemicals (India) Limited,VINYLINDIA
1578,VIP Clothing Limited,VIPCLOTHNG
1579,VIP Industries Limited,VIPIND
1580,Vipul Limited,VIPULLTD
1581,Visaka Industries Limited,VISAKAIND
1582,Visa Steel Limited,VISASTEEL
1583,Visesh Infotecnics Limited,VISESHINFO
1584,Vishal Fabrics Limited,VISHAL
1585,Vishnu Chemicals Limited,VISHNU
1586,Vishwaraj Sugar Industries Limited,VISHWARAJ
1587,Visagar Polytex Limited,VIVIDHA
1588,Vivimed Labs Limited,VIVIMEDLAB
1589,VLS Finance Limited,VLSFINANCE
1590,V-Mart Retail Limited,VMART
1591,Voltamp Transformers Limited,VOLTAMP
1592,Voltas Limited,VOLTAS
1593,VRL Logistics Limited,VRLLOG
1594,Vardhman Special Steels Limited,VSSL
1595,VST Industries Limited,VSTIND
1596,V.S.T Tillers Tractors Limited,VSTTILLERS
1597,Vardhman Textiles Limited,VTL
1598,VA Tech Wabag Limited,WABAG
1599,WABCO India Limited,WABCOINDIA
1600,Walchandnagar Industries Limited,WALCHANNAG
1601,Wanbury Limited,WANBURY
1602,Waterbase Limited,WATERBASE
1603,Websol Energy System Limited,WEBELSOLAR
1604,Weizmann Forex Limited,WEIZFOREX
1605,Weizmann Limited,WEIZMANIND
1606,Welspun Corp Limited,WELCORP
1607,Welspun Enterprises Limited,WELENT
1608,Welspun Investments and Commercials Limited,WELINV
1609,Welspun India Limited,WELSPUNIND
1610,Wendt (India) Limited,WENDT
1611,Westlife Development Ltd,WESTLIFE
1612,Wheels India Limited,WHEELS
1613,Whirlpool of India Limited,WHIRLPOOL
1614,Williamson Magor & Company Limited,WILLAMAGOR
1615,Windsor Machines Limited,WINDMACHIN
1616,Winsome Yarns Limited,WINSOME
1617,The Western India Plywoods Limited,WIPL
1618,Wipro Limited,WIPRO
1619,Wockhardt Limited,WOCKPHARMA
1620,Wonderla Holidays Limited,WONDERLA
1621,W S Industries (I) Limited,WSI
1622,West Coast Paper Mills Limited,WSTCSTPAPR
1623,Xchanging Solutions Limited,XCHANGING
1624,Xelpmoc Design And Tech Limited,XELPMOC
1625,XL Energy Limited,XLENERGY
1626,Xpro India Limited,XPROINDIA
1627,Yes Bank Limited,YESBANK
1628,Zee Entertainment Enterprises Limited,ZEEL
1629,Zee Learn Limited,ZEELEARN
1630,Zee Media Corporation Limited,ZEEMEDIA
1631,Zenith Birla (India) Limited,ZENITHBIR
1632,Zenith Exports Limited,ZENITHEXPO
1633,Zensar Technologies Limited,ZENSARTECH
1634,Zen Technologies Limited,ZENTEC
1635,Zicom Electronic Security Systems Limited,ZICOM
1636,Zodiac Clothing Company Limited,ZODIACLOTH
1637,Zodiac JRD- MKJ Limited,ZODJRDMKJ
1638,Zota Health Care LImited,ZOTA
1639,Zuari Agro Chemicals Limited,ZUARI
1640,Zuari Global Limited,ZUARIGLOB
1641,Zydus Wellness Limited,ZYDUSWELL
